DT_ENVIO;CAMPANHA;LINHA;NOME_BLOCO;COLUNA;SKU;NOME_PROD;QTD_CARAC_NOME;DESCRICAO_PROD;QTD_CARAC_DESC;URL_IMG;URL;DESCONTO;PRECO_DE;PRECO_POR;QTD_PARCELAS;VALOR_PARCELA;UTM_CONTENT
130818;BLAST;1;bloco_banner_unico;1;;;;;;;;;;;;;
130818;BLAST;2;bloco_2prod_cta_azul_precopor_preto;1;HP425HP0IRGTKLAAR-685724;;;;;;;;;;;;
130818;BLAST;2;bloco_2prod_cta_azul_precopor_preto;2;HP425HP0OPSVCLAAR-685725;;;;;;;;;;;;
130818;BLAST;3;bloco_3prod_cta_azul_precopor_azul;1;HP425HP0UO4X4LAAR-685726;;;;;;;;;;;;
130818;BLAST;3;bloco_3prod_cta_azul_precopor_azul;2;HP425HP0NJ5DKLAAR-686813;;;;;;;;;;;;
130818;BLAST;3;bloco_3prod_cta_azul_precopor_azul;3;HP425HP0THHFCLAAR-686814;;;;;;;;;;;;
