DT_ENVIO;CAMPANHA;LINHA;NOME_BLOCO;COLUNA;SKU;NOME_PROD;DESCRICAO_PROD;URL_IMG;URL;DESCONTO;PRECO_DE;PRECO_POR;QTD_PARCELAS;VALOR_PARCELA;UTM_CONTENT
8292018;BLAST;1;bloco_2prod_cta_azul_precopor_preto;1;;Multifuncional Tanque de Tinta HP 416 ;Impressora, Copiadora, Scanner,Wireless;http://imagens.lojahp.com.br/Informatica/impressoramultifuncional/JatodeTinta/12918898/970677722/multifuncional-tanque-de-tinta-hp-416-wireless-impressora-copiadora-scanner-12918898.jpg;http://www.lojahp.com.br/Informatica/impressoramultifuncional/JatodeTinta/Multifuncional-Tanque-de-Tinta-HP-416-Wireless-com-Impressora-Copiadora-Scanner-12918898.html;;;999,00;10;99,90;
8292018;BLAST;1;bloco_2prod_cta_azul_precopor_preto;2;;Multifuncional HP Color LaserJet M477FNW ;Impressora, Copiadora, Scanner, Fax,Wireless;http://imagens.lojahp.com.br/Informatica/impressoramultifuncional/laser/6518076/306457977/multifuncional-hp-color-laserjet-pro-mfp-m477fnw-wireless-impressora-copiadora-scanner-e-fax-6518076.jpg;http://www.lojahp.com.br/Informatica/impressoramultifuncional/laser/Multifuncional-HP-Color-LaserJet-Pro-MFP-M477FNW-Wireless-com-Impressora-Copiadora-Scanner-Fax-6518076.html;;;4.599,00;10;459,90;
8292018;BLAST;2;bloco_1prod_dir_cta_azul;1;;Impressora Fotográfica HP Sprocket 100;Imprima fotos 5x7 com seu smartphone;http://imagens.lojahp.com.br/Informatica/Impressoras/impressorasJatodeTinta/11649222/850218328/impressora-fotografica-para-smartphone-hp-sprocket-100-11649222.jpg;http://www.lojahp.com.br/Informatica/Impressoras/impressorasJatodeTinta/impressora-fotografica-para-smartphone-hp-sprocket-100-11649222.html;;899,00;499,00;10;49,90;
